Title,Text
Article 109.,"Special procedure in respect of Money Bills.. (1) A Money Bill shall not be introduced in the Council of States.(2) After a Money Bill has been passed by the House of the People it shall be transmitted tothe Council of States for its recommendations and the Council of States shall within aperiod of fourteen days from the date of its receipt of the Bill return the Bill to the Houseof the People with its recommendations and the House of the People may thereuponeither accept or reject all or any of the recommendations of the Council of States.(3) If the House of the People accepts any of the recommendations of the Council of States,the Money Bill shall be deemed to have been passed by both Houses with the amendmentsrecommended by the Council of States and accepted by the House of the People.(4) If the House of the People does not accept any of the recommendations of the Councilof States, the Money Bill shall be deemed to have been passed by both Houses in theform in which it was passed by the House of the People without any of the amendmentsrecommended by the Council of States.(5) If a Money Bill passed by the House of the People and transmitted to the Council ofStates for its recommendations is not returned to the House of the People within the saidperiod of fourteen days, it shall be deemed to have been passed by both Houses at theexpiration of the said period in the form in which it was passed by the House of thePeople."
Article 110.,"Definition of “Money Bills’’.. (1) For the purposes of this Chapter, a Bill shall be deemed to be a Money Bill if it containsonly provisions dealing with all or any of the following matters, namely:—(a)the imposition, abolition, remission, alteration or regulation of any tax;(b)the regulation of the borrowing of money or the giving of any guarantee by theGovernment of India, or the amendment of the law with respect to any financialobligations undertaken or to be undertaken by the Government of India;(c)the custody of the Consolidated Fund or the Contingency Fund of India, the paymentof moneys into or the withdrawal of moneys from any such Fund;(d)the appropriation of moneys out of the Consolidated Fund of India;(e)the declaring of any expenditure to be expenditure charged on the ConsolidatedFund of India or the increasing of the amount of any such expenditure;66BUDGET MANUAL(f)the receipt of money on account of the Consolidated Fund of India or the publicaccount of India or the custody or issue of such money or the audit of the accountsof the Union or of a State; or(g)any matter incidental to any of the matters specified in sub-clauses (a) to (f).(2) A Bill shall not be deemed to be a Money Bill by reason only that it provides for theimposition of fines or other pecuniary penalties, or for the demand or payment of feesfor licences or fees for services rendered, or by reason that it provides for the imposition,abolition, remission, alteration or regulation of any tax by any local authority or bodyfor local purposes.(3) If any question arises whether a Bill is a Money Bill or not, the decision of the Speakerof the House of the People thereon shall be final.(4) There shall be endorsed on every Money Bill when it is transmitted to the Council ofStates under article 109, and when it is presented to the President for assent underarticle 111, the certificate of the Speaker of the House of the People signed by him thatit is a Money Bill."
Article 112.,"Annual financial statement.. (1) The President shall in respect of every financial year cause to be laid before both theHouses of Parliament a statement of the estimated receipts and expenditure of theGovernment of India for that year, in this Part referred to as the “annual financialstatement’’.(2) The estimates of expenditure embodied in the annual financial statement shall showseparately—(a)the sums required to meet expenditure described by this Constitution as expenditurecharged upon the Consolidated Fund of India; and(b)the sums required to meet other expenditure proposed to be made from theConsolidated Fund of India, and shall distinguish expenditure on revenue accountfrom other expenditure.(3) The following expenditure shall be expenditure charged on the Consolidated Fund ofIndia—(a)the emoluments and allowances of the President and other expenditure relating tohis office;(b)the salaries and allowances of the Chairman and the Deputy Chairman of theCouncil of States and the Speaker and the Deputy Speaker of the House of thePeople;(c)debt charges for which the Government of India is liable including interest, sinkingfund charges and redemption charges, and other expenditure relating to the raisingof loans and the service and redemption of debt;67BUDGET MANUAL(d)(i)the salaries, allowances and pensions payable to or in respect of Judges ofthe Supreme Court;(ii)the pensions payable to or in respect of Judges of the Federal Court;(iii)the pensions payable to or in respect of Judges of any High Court whichexercises jurisdiction in relation to any area included in the territory of India orwhich at any time before the commencement of this Constitution exercisedjurisdiction in relation to any area included in a Governor’s Province of theDominion of India;(e)the salary, allowances and pension payable to or in respect of the Comptrollerand Auditor-General of India;(f)any sums required to satisfy any judgment, decree or award of any court or arbitraltribunal;(g)any other expenditure declared by this Constitution or by Parliament by law to beso charged."
Article 113.,"Procedure in Parliament with respect to estimates.. (1) So much of the estimates as relates to expenditure charged upon the ConsolidatedFund of India shall not be submitted to the vote of Parliament, but nothing in this clauseshall be construed as preventing the discussion in either House of Parliament of any ofthose estimates.(2) So much of the said estimates as relates to other expenditure shall be submitted in theform of demands for grants to the House of the People, and the House of the Peopleshall have power to assent, or to refuse to assent, to any demand, or to assent to anydemand subject to a reduction of the amount specified therein.(3) No demand for a grant shall be made except on the recommendation of the President."
Article 114.,"Appropriation Bills.. (1) As soon as may be after the grants under article 113 have been made by the House ofthe People, there shall be introduced a Bill to provide for the appropriation out of theConsolidated Fund of India of all moneys required to meet—(a)the grants so made by the House of the People; and(b)the expenditure charged on the Consolidated Fund of India but not exceeding inany case the amount shown in the statement previously laid before Parliament.(2) No amendment shall be proposed to any such Bill in either House of Parliament whichwill have the effect of varying the amount or altering the destination of any grant somade or of varying the amount of any expenditure charged on the Consolidated Fundof India, and the decision of the person presiding as to whether an amendment isinadmissible under this clause shall be final.68BUDGET MANUAL(3) Subject to the provisions of articles 115 and 116, no money shall be withdrawn fromthe Consolidated Fund of India except under appropriation made by law passed inaccordance with the provisions of this article."
Article 115.,"Supplementary, additional or excess grants.. (1) The President shall— (a)if the amount authorised by any law made in accordance with120 the provisions of article 114 to be expended for a particular service for the currentfinancial year is found to be insufficient for the purposes of that year or when aneed has arisen during the current financial year for supplementary or additionalexpenditure upon some new service not contemplated in the annual financialstatement for that year, or (b)if any money has been spent on any service during a financial year in excess of theamount granted for that service and for that year, cause to be laid before both theHouses of Parliament another statement showing the estimated amount of thatexpenditure or cause to be presented to the House of the People a demand forsuch excess, as the case may be.(2) The provisions of articles 112, 113 and 114 shall have effect in relation to any suchstatement and expenditure or demand and also to any law to be made authorising theappropriation of moneys out of the Consolidated Fund of India to meet such expenditureor the grant in respect of such demand as they have effect in relation to the annualfinancial statement and the expenditure mentioned therein or to a demand for a grantand the law to be made for the authorisation of appropriation of moneys out of theConsolidated Fund of India to meet such expenditure or grant."
Article 116.,"Votes on account, votes of credit and exceptional grants.. (1) Notwithstanding anything in the foregoing provisions of this Chapter, the House of thePeople shall have power—(a)to make any grant in advance in respect of the estimated expenditure for a part ofany financial year pending the completion of the procedure prescribed in article113 for the voting of such grant and the passing of the law in accordance with theprovisions of article 114 in relation to that expenditure;(b)to make a grant for meeting an unexpected demand upon the resources of Indiawhen on account of the magnitude or the indefinite character of the service thedemand cannot be stated with the details ordinarily given in an annual financialstatement;(c)to make an exceptional grant which forms no part of the current service of anyfinancial year; and Parliament shall have power to authorise by law the withdrawalof moneys from the Consolidated Fund of India for the purposes for which thesaid grants are made.69BUDGET MANUAL(2) The provisions of articles 113 and 114 shall have effect in relation to the making of anygrant under clause (1) and to any law to be made under that clause as they have effectin relation to the making of a grant with regard to any expenditure mentioned in theannual financial statement and the law to be made for the authorisation of appropriationof moneys out of the Consolidated Fund of India to meet such expenditure."
Article 117.,"Special provisions as to financial Bills.. (1) A Bill or amendment making provision for any of the matters specified in sub-clauses(a) to (f) of clause (1) of article 110 shall not be introduced or moved except on therecommendation of the President and a Bill making such provision shall not be introducedin the Council of States:Provided that no recommendation shall be required under this clause for the moving ofan amendment making provision for the reduction or abolition of any tax.(2) A Bill or amendment shall not be deemed to make provision for any of the mattersaforesaid by reason only that it provides for the imposition of fines or other pecuniarypenalties, or for the demand or payment of fees for licences or fees for services rendered,or by reason that it provides for the imposition, abolition, remission, alteration orregulation of any tax by any local authority or body for local purposes.(3) A Bill which, if enacted and brought into operation, would involve expenditure from theConsolidated Fund of India shall not be passed by either House of Parliament unlessthe President has recommended to that House the consideration of the Bill."
Article 13.,"Applicability of article 239A of Constitution.. On and from the appointed day, the provisionscontained in article 239A, which are applicable to “Union territory of Puducherry”, shall alsoapply to the “Union territory of Jammu and Kashmir”."
Article 149.,"Duties and powers of the Comptroller and Auditor-General.. The Comptroller and Auditor-General shall perform such duties and exercise such powers in relation to the accounts of theUnion and of the States and of any other authority or body as may be prescribed by or under anylaw made by Parliament and, until provision in that behalf is so made, shall perform such dutiesand exercise such powers in relation to the accounts of the Union and of the States as wereconferred on or exercisable by the Auditor-General of India immediately before the commencementof this Constitution in relation to the accounts of the Dominion of India and of the Provincesrespectively.89BUDGET MANUAL"
