Title,Text
ADMINISTRATIVE MINISTRIES,"Chief Accounting Authority of eachMinistry/Department is responsible for thecollection of revenue and control of expenditurewith respect to his/her Ministry/Department. The Secretary of each Ministry, being theChief Accounting Authority for that Ministrydischarges this function through and with theadvice of the Financial Adviser and the ChiefController of Accounts."
APPROPRIATION BILL,"The Constitution under Article 114 states“no money shall be withdrawn from theConsolidated Fund of India except underAppropriation made by law”. Therefore, afterthe Demands for Grants are voted and passedby Lok Sabha, an Appropriation Bill isintroduced in the Lok Sabha seeking to“authorize payment and appropriation of thesums so voted, as well as those required formeeting the charged expenditure from and outof the Consolidated Fund of India for the servicesduring the financial year”. After the Bill has been considered andpassed by the Lok Sabha, it is transmitted to theRajya Sabha for consideration and return.Appropriation Bill for withdrawal from theConsolidated Fund of India is introduced in theLok Sabha with the prior approval of thePresident. For its introduction, consideration and12BUDGET MANUALpassing on the same day, a special permissionhas to be sought from the Speaker. The scope of debate on an AppropriationBill relating to Demands for Grants for thefinancial year after remaining demands havebeen guillotined is restricted to important mattersor administrative policy implied in the grantscovered by the Bill which have not already beenraised while relevant Demands for Grants werediscussed in the House."
BUDGET ACTIVITIES AND TIMELINES,"In the entire process of Budgetpreparation commencing with issue of BudgetCircular, there is a need for maintaining secrecy,accuracy and timeliness. All statements, information and inputsrequire intensive checking with special attentiongiven to the manually generated statements, forwhich an additional level of check is to beensured. List of such statements allocated/distributed amongst the staff and officers iscirculated internally every year in the BudgetDivision, with the approval of JS/AS (Budget). In addition, concerned Deputy Directors/Under Secretaries in the Budget Division arerequired to follow up with Ministries/Departments for the receipt of informationregarding different Statements/Annexures ofBudget documents for which they areresponsible, ensuring that they are received andprocessed within the given timelines. Tentative timelines for receivinginformation/ activity associated with the Budgetand preparation/ completion of the budgetarydocuments/processes have been broughtthrough Budget Activity Schedule and circulatedto all concerned. A Draft Budget ActivitySchedule is in Annexure 2 . Budget documents from 2021-2022have been brought out in digital mode. Thetentative activity-wise schedule for preparationof paperless Budget is provided in Annexure 4 .Paperless Budget documents will be providedthrough an e-mail to Lok Sabha and RajyaSabha Secretariat, at the earliest after thecompletion of Budget Speech by FinanceMinister in Parliament. Lok Sabha/Rajya SabhaCHAPTER 4BUDGET FINALIZATIONSecretariat will further send/ distribute theBudget documents through online mode toMembers of Parliament."
Budget Circular,"Commencement of Budget processtakes place with issue of the Budget Circular,normally in the month of September eachyear. Budget Circular is issued with thepurpose of providing guidance to Ministries/Departments in framing their Revised Estimatesfor the current year and the Budget Estimatesfor the ensuing financial year. This Circular givesdetailed instructions on the preparation ofestimates of various types of receipts andexpenditure, including the formats andstatements in which the estimates are requiredto be furnished.ESTIMATES OF RECEIPTS"
BUDGET DOCUMENTS FINANCE MINISTER’S SPEECH:,"KEY TO BUDGET DOCUMENTS:(i) Editorial revisions are required to becarried out wherever required;(ii) Key to Budget Document has to beadded/explained as the first document;and(iii) Index has to be reviewed/amended asper the changes made.38BUDGET MANUALThe practice has been to submit this documentfor approval during the first week of January. DEMANDS FOR GRANTS:(i) Contents – Page numbers etc. as givenin the list of contents must be checked toensure that these match with thoseassigned to each Demand for Grant.(ii) Introduction – Necessary consequentialchanges are to be carried out in theintroduction.(iii) Summary – Revenue/Capital andCharged/ Voted expenditure is to betaken from the approved Statement ofBudget Estimates while checking the‘Summary’ portion.(iv) Demands for Grants - Demands forGrants are to be prepared and gotapproved by the concerned sections ofthe Budget Division assigned a particularMinistry/Department. It is also theresponsibility of the concerned Sectionsto ensure the correctness of the contentstherein. However, Demand Section isrequired to check the Demands forGrants to ensure:(a)Correctness of number of Demandfor Grant;(b)Nomenclature of Ministries/Departments; and(c)Nomenclature of Heads ofAccounts.Nomenclature is required to bechecked from the List of Major andMinor Heads of Accounts (LMMHA).(d)DG summary is tallied with individualDGs.(v) Statement showing details of NS/NIS –Demands Section has the responsibilityto call for information from all Ministries/Departments and prepare the Statementon the basis of the information sofurnished by concerned Ministries/Departments. EXPENDITURE BUDGETi."
Budget for a year preparation,"Budget for a year is prepared by theBudget Division in the Ministry of Financebroadly on the basis of detailed estimates ofexpenditure and receipts received from variousDepartments/Ministries and its own subordinateestimating authorities. The detailed estimates ofexpenditure are prepared by Ministries/CHAPTER 3BUDGET PROCESSDepartments according to their assessment ofrequirements for the ensuing year, keeping inview the actual requirements in the past, currentyear’s trends of expenditure, the decisions takenby the Government which will have financialimplications etc. The roles and responsibilitiesare mentioned in chapter 2 of this Manual . Thefollowing paragraphs bring out the process ofestimation and their collation which leads to thepreparation of Budget."
BUDGET IN PARLIAMENT," Budget Division submits/sends variousletters to Parliament, signed by Finance Ministerbefore presentation of Budget and afterpresentation of Budget regarding legislativebusiness in Parliament. Timeline of relatedapproval of budget is at Annexure 8 . Budget Division (Demands Section)is responsible for obtaining the approval of theFinance Minister on the following sets ofdocuments to Lok Sa bha/Rajya Sabha. Thelist of letters to be submitted to Lok Sabha/Rajya Sabha are as follows:Lok Sabha(i) Letter to Secretary-General, informingabout the President’s recommendationhaving been obtained for considerationof the Bill in Lok Sabha;(ii) Letter to Speaker, Lok Sabha forconsideration and passing of the Bill;(iii) Notice of Motion of Leave to introducethe Bill (to Secretary-General, LokSabha);(iv) Notice of Motion for consideration andpassing of the Bill (to Secretary-General,Lok Sabha);(v) Statement of Objects and Reasonsrelated to Bill.Rajya Sabha(i) Letter to Secretary-General, Rajya Sabhaconveying the President’s recommendationfor consideration of the Bill in RajyaSabha;(ii) Letter to Chairman, Rajya Sabha forrelaxation of Rule 123 for circulation ofBill two days before consideration by theRajya Sabha;(iii) Notice to Secretary-General, RajyaSabha for consideration and return ofthe Bill. Budget Division (Demands Section)obtains the ‘Bill Number’ for Finance Bill fromMinistry of Law and Justice and communicatethe same to Budget Press. If the Finance Bill tobe presented to Parliament is first for the year,no number will be assigned and the title will belike ‘Finance Bill, Year’. If the Bill to bepresented to Parliament is second Bill or44BUDGET MANUAL1 2 3No. ofVote(DemandNo.) Service &Purpose Sum Not Exceeding Voted bytheParliament Charged ontheConsolidatedFund Total…… (Name oftheDemand….RevenueCapital) …… …… …… subsequent Bill, the title will be ‘Finance(Number) Bill , Year’. This number will appearuniformly on the letters signed by FinanceMinister. The same procedure is followed forAppropriation Bill. The letters signed by the Finance Ministerare enclosed with the President’srecommendations, before the same aresubmitted to Lok Sabha on 1st February.Immediately after the presentation of Budget inParliament, the following documents aresubmitted for approval and signature of theFinance Minister:Lok Sabha(i) ‘Summary ’ for President seeking therecommendation for introduction ofthe Appropriation Bill in Lok Sabha;(ii) Notice for Motion for Demand-wisedrawal of money from ConsolidatedFund of India;(iii) Letter to Secretary-General of Lok Sabhainforming about the President’srecommendation having been obtainedfor consideration of the Bill in Lok Sabha;(iv) Letter to Speaker, Lok Sabha forconsideration and passing of the Bill;(v) Notice of Motion for Leave to introducethe Bill (to Secretary General, Lok Sabha);(vi) Notice of Motion for consideration andpassing of the Bill (to Secretary-General,Lok Sabha); and(vii) Statement of Objects and Reasonsrelated to the Bill.Rajya Sabha(i) ‘Summary ’ for President seeking therecommendation for introduction ofthe Appropriation Bill in Rajya Sabha;(ii) Letter to Secretary-General, RajyaSabha conveying the President’srecommendation for consideration ofthe Bill in Rajya Sabha;(iii) Letter to Chairman, Rajya Sabha forrelaxation of Rule 123 for circulation ofthe Bill two days before consideration bythe Rajya Sabha;(iv) Notice to Secretary-General, RajyaSabha for consideration and return ofthe Bill. While the Parliament is in recess afterintroduction of the Budget, the following actionis required to be taken by the Demand Section:(i) Prepare List of Demand for Grants in theBudget Press. 800 copies of it arerequired to be provided to Lok Sabhabefore commencement of 2nd Sessionof the Budget after recess. It is preparedin two formats with following details:(ii) Draft Appropriation Bill. It is veryimportant to note that the date whichappears in the 4th Para (Clause) of theBill is the date of notification vide whichthe list of existing Demands has beenupdated.(iii) Statement to the Appropriation Bill shallbe in the following format.1 2 3 No. andName ofDemand Amount of Demand forGrant to the Vote of theHouse Revenue Capital45BUDGET MANUAL(iv) Before resumption of the Parliament afterrecess, the draft Appropriation Bill withStatement and the ‘Statement of Objectsand Reasons’ related to bill (duly signedby the FM) is sent to the Leg-I Section ofthe Ministry of Law & Justice. The‘Summary’ for President seeking therecommendations for introduction of theAppropriation Bill in Lok Sabha alongwith relevant letters is sent to Lok SabhaSecretariat.(v) US (Demand) has to visit Leg-I Sectionof Ministry of Law & Justice for vetting ofthe Appropriation Bill and relatedStatement, before it is sent by them toLok Sabha Secretariat for final vetting.(vi) The Legislative Section-I of the Lok SabhaSecretariat also sends the draftAppropriation Bill for vetting by DemandSection before it is finally printed in theParliament Press.(vii) After that the Appropriation Bill isintroduced in Lok Sabha on thescheduled date.(viii) Immediately after the Bill is passed byLok Sabha, the ‘Summary’ for Presidentseeking the recommendations forintroduction of the Appropriation Bill inRajya Sabha along with relevant lettersis sent to Rajya Sabha Secretariat.(ix) After the Bill has been passed by boththe Houses of Parliament, the President’sAssent on the Bill is taken by the Ministryof Law & Justice.(x) After obtaining the President’s Assent, theCorresponding Act is published in theGazette of India by the Minto RoadGovernment Press. This is coordinatedby the Ministry of Law & Justice.(xi) On the day the Appropriation Act ispublished in the Gazette of India, anotification is required to be issued byDemand Section, Budget Division, bothin English & Hindi version for distributionamong all Financial Advisors and relatedoffices. A Copy of this notification alongwith the relevant Act published in theGazette is also uploaded on the officialwebsite of Department of EconomicAffairs. Similar exercise is done for the laying,passing, assenting and notifying the approvalof Supplementary Demands for Grants. PRESENTING THE BUDGET OF A STATE/UT (with legislature) UNDERPRESIDENT’S RULE(i) When a State/ UT (with legislature) isplaced under President’s Rule by virtueof proclamation order of President ofIndia, the powers of legislature of theState/ UT are exercised by or under theauthority of Parliament.(ii) For States, all Money Bills or other Billsto which the provisions of Article 207 ofthe Constitution apply are to be reservedfor the consideration of the Presidentafter they are passed by the Legislatureof the State;(iii) laying of the Annual Financial Statementand other Budget Documents of theState/Union Territory (with legislature) isdone before both the Houses of theParliament Under Articles 202, 239 and239A of the Constitution read withrelevant Sections of the State Act.(iv) Accordingly, Ministry of Home (MHA) isrequired to send Budget proposals forRE of the current year/Budget/Supplementary Estimates for the relevantyear, in consultation with the State underthe President’s Rule. This exercise is donenormally in the month of November/46BUDGET MANUALDecember, after release of expenditureceilings, or as necessitated.(v) Budget Estimates are checked with thecorresponding expenditure ceilingsreleased by Ministry of Finance pertainingto Demands for Grants of UT concerned.(vi) Examining the documents, as per therequirement of the Parliament. Draftingof Appropriation Bills/ Statement ofReasons(vii) President’s Recommendation (as perconstitutional requirement) to be soughtbefore laying the Budget Documents (forboth the Supplementary and BudgetEstimates) in Parliament, including theStatement of Reasons and AppropriationBills.(viii) After obtaining President’s Recommendation,the documents relating to Notices dulysigned by FM shall be sent to RajyaSabha, for consideration of theAppropriation Bill in Rajya Sabha. Thisis to be followed by laying in theParliament and passing of Bills as perconstitutional mandate.(ix) Bill Section of Parliament seeks vettingof the Appropriation Bill and requests tosend it directly to the Legislative Section,Ministry of Law & Justice.(x) After the Appropriation Bill is returnedby Rajya Sabha, Budget Division is tokeep in touch with the Bill Section (of bothLok Sabha/Rajya Sabha) and theLegislative Branch, Ministry of Law &Justice TO GET THE PRESIDENT’SASSENT.(xi) Finally, the Gazette Notification issuedby Ministry of Law & Justice is to beforwarded to the Finance Department ofState/UT.47BUDGET MANUAL"
BUDGET PRESENTATION," While presenting the Budget in LokSabha, the Finance Minister makes a speechproviding details of the proposals for the newfinancial year regarding taxation, borrowingsand expenditure plans of the Government. The Budget Speech is largely a policydocument which highlights the policies andprogrammes of the Government. The Budget is laid on the Table of theRajya Sabha soon after the Finance Minister hascompleted her/his budget speech in the LokSabha. No discussion takes place on the daythe Budget is presented. Sets of Budget papersare supplied to Members after the Budget hasbeen presented through electronic/digital mode. Five copies of the Finance Minister’sspeech are provided to the Secretary General,Lok Sabha from the Official Gallery as soon asthe Finance Minister starts reading the same."
BUDGET PRESS AND SECURITY/LOCK-IN ARRANGEMENTS," Finance Ministry has its own press to printthe entire set of Budget papers. Entry to BudgetPress is restricted in the months before theBudget is presented. Employees of the press, stay in the Pressalong with other staff and officers who are alsolocked-in for the last few days. This is a part ofthe security measure put in place to ensurefoolproof secrecy for the Budget papers. During the Budget period, and in orderto complete the Budget printing work in time,Manager (Press) is responsible for-i. Timely procurement and receipt of itemsfor printing documents;ii. Action to ensure that all key personnelare in position;iii. Cleanliness inside/outside Budget Pressis ensured;iv. Status of coordination work with otheragencies- Fire Brigade, Delhi Police,MTNL, IB, Canteen, Hospital, setting upof CCTV , etc; andv. Completion of Construction/Maintenance works in and aroundBudget Press latest by the 30thNovember. Security arrangements for the entireBudget period are made by the IntelligenceBureau, in consultation with the Budget Division.They are responsible for screening all the officersand staff associated with the Budget and set upan elaborate security arrangement in the BudgetDivision and the Budget Press to ensure secrecyof Budget related information."
Budget,"Although the Constitution does notmention the term ‘Budget’, Article 112 says thatthe President shall, in respect of every financialyear, cause to be laid before both the Housesof Parliament, the House of People (Lok Sabha)and the Council of States (Rajya Sabha), astatement of the estimated receipts andexpenditure of the Government for that year.This statement is known as the ‘Annual FinancialStatement’. The financial year for the Union and theState Governments in India is from 1st April to31st March. Each financial year is, therefore,spread over two calendar years. The period offinancial year as 1st April to 31st March wasintroduced in India from 1867. Prior to that,the financial year in India used to commenceon 1st May and ended on 30th April (L.K. JhaCommittee’s Report of the Committee onChange in Financial Year). Presently, the Union Budget of India ispresented each year on the 1st February or anyother suitable date by the Finance Minister tothe Parliament."
